id,name,category,description,price
1,Paneer Pakoda,Snacks VEG,Fried cottage cheese fritters (10 Pcs),120
2,Pea Nut Masala,Snacks VEG,Spiced peanuts,80
3,Finger Chips,Snacks VEG,French fries,100
4,Masala Papad,Snacks VEG,Spiced crispy lentil wafer,50
5,Plain Papad,Snacks VEG,Plain crispy lentil wafer,20
6,Veg Pakoda,Snacks VEG,Mixed vegetable fritters (10 pcs),100
7,Chilli Paneer,Snacks VEG,Spicy cottage cheese preparation,230
8,Paneer Manchurian,Snacks VEG,Indo-Chinese cottage cheese,260
9,Paneer Finger Chips,Snacks VEG,Cottage cheese fingers,240
10,Hara Bhara,Snacks VEG,Green vegetable cutlets,120
11,Cheese Corn Roll,Snacks VEG,Cheese and corn rolls,200
12,Mushroom Chilli,Snacks VEG,Spicy mushroom preparation,180
13,Veg Crispy,Snacks VEG,Crispy fried vegetables,180
14,Crispy Paneer,Snacks VEG,Crispy fried cottage cheese,190
15,Veg Manchurian Dry,Snacks VEG,Dry Indo-Chinese vegetables,160
16,Veg Manchurian Gravy,Snacks VEG,Indo-Chinese vegetables in gravy,170
17,Veg Spring Roll,Snacks VEG,Vegetable filled rolls,150
18,Veg Cutlet,Snacks VEG,Vegetable patties,180
19,Honey Chilli Potato,Snacks VEG,Sweet and spicy potatoes,200
20,Chilli Potato,Snacks VEG,Spicy potato preparation,170
21,Honey Chilli Corny Flower,Snacks VEG,Sweet spicy cauliflower,200
22,Aaloo Chana Chat,Snacks VEG,Potato and chickpea snack,100
23,Green Salad,Snacks VEG,Fresh vegetable salad,60
24,Veg Raita,Snacks VEG,Vegetable yogurt side dish,80
25,Bundi Raita,Snacks VEG,Yogurt with fried gram flour drops,60
26,Chilli Gravy Momo,Snacks VEG,Dumplings in spicy sauce,200
27,Fish Pakoda,Snacks NON-VEG,Fish fritters (10 Pcs),250
28,Chicken Pakoda,Snacks NON-VEG,Chicken fritters (12 Pcs),250
29,Chilli Chicken,Snacks NON-VEG,Spicy chicken preparation,250
